,Ticker,Name,Last Sale,Net Change,Percent Change,Market Cap
3321,SOHOB,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,$16.17,0.06,0.372%,"325,444,131"
3322,SBC,SBC Medical Group Holdings Incorporated Common Stock,$3.14,-0.05,-1.567%,"325,339,328"
3323,RMNI,"Rimini Street, Inc. (DE) Common Stock",$3.55,0.02,0.567%,"324,100,800"
3324,POET,POET Technologies Inc. Common Shares,$4.15,0.07,1.716%,"323,989,674"
3325,CHSCO,CHS Inc. Class B Cumulative Redeemable Preferred Stock,$26.3278,0.0278,0.106%,"323,094,841"
3326,XPER,Xperi Inc. Common Stock,$7.26,-0.13,-1.759%,"322,263,632"
3327,CLCO,Cool Company Ltd. Common Shares,$5.99,-0.36,-5.669%,"321,823,041"
3328,EVTL,Vertical Aerospace Ltd. Ordinary Shares,$3.80,0.10,2.703%,"321,300,340"
3329,SOHOO,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,$15.9501,-0.2925,-1.801%,"321,018,332"
3330,NECB,"NorthEast Community Bancorp, Inc. Common Stock",$22.85,0.09,0.395%,"320,434,142"
3331,VPG,"Vishay Precision Group, Inc. Common Stock",$24.16,-0.78,-3.128%,"320,297,334"
3332,WNC,Wabash National Corporation Common Stock,$7.54,0.63,9.117%,"320,071,756"
3333,BBCP,"Concrete Pumping Holdings, Inc. Common Stock",$6.03,0.03,0.50%,"319,897,198"
3334,SMLR,"Semler Scientific, Inc. Common Stock",$33.33,1.00,3.093%,"319,850,878"
3335,HVT,"Haverty Furniture Companies, Inc. Common Stock",$19.74,1.58,8.70%,"319,660,361"
3336,ESGRP,Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,$21.41,0.09,0.422%,"318,695,493"
3337,NNOX,NANO-X IMAGING LTD Ordinary Shares,$4.99,-0.04,-0.795%,"318,172,385"
3338,API,"Agora, Inc. American Depositary Shares",$3.40,0.12,3.659%,"317,936,519"
3339,RNAC,"Cartesian Therapeutics, Inc. Common Stock",$12.27,0.27,2.25%,"317,880,129"
3340,SEPN,"Septerna, Inc. Common Stock",$7.14,0.18,2.586%,"317,319,421"
3341,RILYN,"B. Riley Financial, Inc. 6.50% Senior Notes Due 2026",$10.3999,0.0249,0.24%,"317,166,437"
3342,MOV,Movado Group Inc. Common Stock,$14.25,0.36,2.592%,"316,876,224"
3343,SVC,Service Properties Trust Common Stock,$1.90,0.10,5.556%,"316,609,420"
3344,APPS,"Digital Turbine, Inc. Common Stock",$3.01,0.01,0.333%,"316,070,495"
3345,CHSCL,"CHS Inc Class B Cumulative Redeemable Preferred Stock, Series 4",$25.68,0.065,0.254%,"315,145,037"
3346,LVWR,"LiveWire Group, Inc. Common Stock",$1.54,-0.25,-13.966%,"313,351,104"
3347,LVRO,Lavoro Limited Class A Ordinary Shares,$2.68,0.04,1.515%,"312,510,322"
3348,DIN,"Dine Brands Global, Inc. Common Stock",$20.48,0.57,2.863%,"312,397,558"
3349,ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",$13.63,-0.01,-0.073%,"312,330,619"
3350,SPIR,"Spire Global, Inc. Class A Common Stock",$9.60,0.21,2.236%,"311,754,614"
3351,OBE,Obsidian Energy Ltd. Common Shares,$4.23,0.02,0.475%,"311,686,712"
3352,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",$12.77,0.04,0.314%,"310,971,924"
3353,TERN,"Terns Pharmaceuticals, Inc. Common Stock",$3.56,0.26,7.879%,"310,779,559"
3354,ESGRO,"Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares, Series E",$20.87,0.26,1.262%,"310,657,401"
3355,DH,Definitive Healthcare Corp. Class A Common Stock,$2.75,0.03,1.103%,"310,506,144"
3356,SWKHL,SWK Holdings Corporation 9.00% Senior Notes due 2027,$25.3037,-0.1217,-0.479%,"310,041,580"
3357,WTF,Waton Financial Limited Ordinary Shares,$6.43,0.13,2.063%,"309,966,007"
3358,CHSCN,CHS Inc Preferred Class B Series 2 Reset Rate,$25.25,UNCH,--,"309,868,076"
3359,PNBK,Patriot National Bancorp Inc. Common Stock,$4.20,0.085,2.066%,"309,646,226"
3360,MIN,MFS Intermediate Income Trust Common Stock,$2.69,UNCH,--,"309,075,004"
3361,PDLB,"Ponce Financial Group, Inc. Common Stock",$12.89,0.02,0.155%,"308,924,202"
3362,HPP,"Hudson Pacific Properties, Inc. Common Stock",$2.18,0.13,6.341%,"308,150,488"
3363,RITR,Reitar Logtech Holdings Limited Ordinary shares,$3.75,-0.15,-3.846%,"307,968,750"
3364,XOMAP,XOMA Royalty Corporation 8.625% Series A Cumulative Perpetual Preferred Stock,$25.70,UNCH,--,"307,853,027"
3365,MTLS,Materialise NV American Depositary Shares,$5.19,0.05,0.973%,"306,558,695"
3366,NUS,"Nu Skin Enterprises, Inc. Common Stock",$6.16,-0.17,-2.686%,"306,292,319"
3367,SHYF,"The Shyft Group, Inc. Common Stock",$8.74,0.28,3.31%,"305,953,174"
3368,OPAL,OPAL Fuels Inc. Class A Common Stock,$1.77,0.04,2.312%,"305,906,470"
3369,BRBS,"Blue Ridge Bankshares, Inc. Common Stock",$3.48,0.05,1.458%,"305,508,654"
3370,ZJK,"ZJK Industrial Co., Ltd. Ordinary Shares",$4.97,0.78,18.616%,"305,064,808"
3371,AURA,"Aura Biosciences, Inc. Common Stock",$6.07,0.24,4.117%,"304,867,644"
3372,MNTK,"Montauk Renewables, Inc. Common Stock",$2.13,0.03,1.429%,"303,385,487"
3373,PAMT,PAMT CORP Common Stock,$13.91,-0.06,-0.429%,"303,108,053"
3374,QSG,QuantaSing Group Limited American Depositary Shares,$5.93,-0.24,-3.89%,"303,100,108"
3375,FSBW,"FS Bancorp, Inc. Common Stock",$39.00,-0.10,-0.256%,"302,750,253"
3376,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$3.15,0.06,1.942%,"302,671,026"
3377,REFI,"Chicago Atlantic Real Estate Finance, Inc. Common Stock",$14.46,-0.01,-0.069%,"302,124,131"
3378,XOMAO,XOMA Royalty Corporation Depositary Shares Rep Series B 8.375% Cumulative Preferred Stock,$25.20,-0.12,-0.474%,"301,863,668"
3379,FCNCO,"First Citizens BancShares, Inc. 5.625% Non-Cumulative Perpetual Preferred Stock, Series C",$22.23,-0.06,-0.269%,"301,822,223"
3380,CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,$15.37,0.13,0.853%,"301,746,822"
3381,OFSSH,OFS Capital Corporation 4.95% Notes due 2028,$22.50,UNCH,--,"301,456,755"
3382,GLUE,"Monte Rosa Therapeutics, Inc. Common Stock",$4.90,-0.01,-0.204%,"301,398,123"
3383,DOMO,"Domo, Inc. Class B Common Stock",$7.53,0.10,1.346%,"300,745,083"
3384,CHSCM,"CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock, Series 3",$24.46,-0.01,-0.041%,"300,173,193"
3385,PBFS,"Pioneer Bancorp, Inc. Common Stock",$11.50,0.28,2.496%,"298,699,896"
3386,LXFR,Luxfer Holdings PLC Ordinary Shares,$11.15,0.39,3.625%,"298,439,841"
3387,JMIA,"Jumia Technologies AG American Depositary Shares, each representing two Ordinary Shares",$2.43,0.06,2.532%,"297,584,665"
3388,RDIB,Reading International Inc Class B Common Stock,$13.3506,1.9006,16.599%,"297,502,007"
3389,CZNC,Citizens & Northern Corp Common Stock,$19.23,-0.02,-0.104%,"297,412,488"
3390,VENU,Venu Holding Corporation Common Stock,$7.93,0.33,4.342%,"297,343,669"
3391,ATYR,"aTyr Pharma, Inc. Common Stock",$3.34,-0.13,-3.746%,"296,787,764"
3392,MXCT,"MaxCyte, Inc. Common Stock",$2.79,-0.05,-1.761%,"296,615,273"
3393,AQST,"Aquestive Therapeutics, Inc. Common Stock",$3.00,0.075,2.564%,"296,614,107"
3394,OFLX,"Omega Flex, Inc. Common Stock",$29.31,-0.65,-2.17%,"295,864,578"
3395,TBN,Tamboran Resources Corporation Common stock,$20.28,-0.04,-0.197%,"294,805,777"
3396,MLP,"Maui Land & Pineapple Company, Inc. Common Stock",$14.92,-0.61,-3.928%,"294,562,337"
3397,LANV,Lanvin Group Holdings Limited Ordinary Shares,$2.03,-0.0392,-1.894%,"294,393,548"
3398,STIM,"Neuronetics, Inc. Common Stock",$4.46,0.08,1.826%,"293,532,724"
3399,BRT,BRT Apartments Corp. (MD) Common Stock,$15.49,0.02,0.129%,"293,221,704"
3400,PMTS,CPI Card Group Inc. Common Stock,$26.06,-0.08,-0.306%,"292,927,612"
3401,AIRJ,AirJoule Technologies Corporation Class A Common Stock,$5.23,0.23,4.60%,"292,867,767"
3402,ONIT,Onity Group Inc. Common Stock,$37.12,-0.39,-1.04%,"292,247,727"
3403,MPX,Marine Products Corporation Common Stock,$8.35,-0.05,-0.595%,"291,877,949"
3404,NVEC,NVE Corporation Common Stock,$60.28,2.17,3.734%,"291,584,366"
3405,ATAI,ATAI Life Sciences N.V. Common Shares,$1.47,-0.03,-2.00%,"291,510,489"
3406,HIVE,HIVE Digital Technologies Ltd. Common Shares,$1.76,0.07,4.142%,"291,482,727"
3407,ATXS,"Astria Therapeutics, Inc. Common Stock",$5.16,UNCH,--,"291,200,570"
3408,PMM,Putnam Managed Municipal Income Trust Common Stock,$5.97,0.03,0.505%,"290,970,690"
3409,CAN,Canaan Inc. American Depositary Shares,$0.6922,-0.0114,-1.62%,"290,906,436"
3410,AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),$0.69,-0.0732,-9.591%,"290,884,646"
3411,SMC,Summit Midstream Corporation Common Stock,$27.25,-0.59,-2.119%,"290,176,666"
3412,NRDY,Nerdy Inc. Class A Common Stock,$1.59,UNCH,--,"290,090,802"
3413,SNCRL,"Synchronoss Technologies, Inc. 8.375% Senior Notes due 2026",$25.237,-0.053,-0.21%,"289,996,298"
3414,HDSN,"Hudson Technologies, Inc. Common Stock",$6.58,-0.11,-1.644%,"289,685,211"
3415,VLN,Valens Semiconductor Ltd. Ordinary Shares,$2.74,0.09,3.396%,"289,669,134"
3416,BCML,BayCom Corp Common Stock,$25.97,-0.04,-0.154%,"289,049,918"
3417,EU,enCore Energy Corp. Common Shares,$1.55,0.04,2.649%,"288,704,986"
3418,HRZN,Horizon Technology Finance Corporation Common Stock,$7.135,-0.305,-4.099%,"287,932,661"
3419,PKOH,Park-Ohio Holdings Corp. Common Stock,$20.21,0.30,1.507%,"287,608,348"
3420,ITOS,"iTeos Therapeutics, Inc. Common Stock",$7.50,0.25,3.448%,"287,053,463"
3421,SMTI,Sanara MedTech Inc. Common Stock,$32.24,0.30,0.939%,"286,997,353"
3422,PNRG,PrimeEnergy Resources Corporation Common Stock,$171.52,1.65,0.971%,"286,862,054"
3423,CHPT,"ChargePoint Holdings, Inc. Common Stock",$0.6258,0.003,0.482%,"286,742,158"
3424,OCCIO,"OFS Credit Company, Inc. 6.125% Series C Term Preferred Stock",$24.658,0.0479,0.195%,"286,439,904"
3425,ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$2.12,-0.05,-2.304%,"286,422,180"
3426,RILYG,"B. Riley Financial, Inc. 5.00% Senior Notes due 2026",$9.39,-0.14,-1.469%,"286,367,450"
3427,WEYS,"Weyco Group, Inc. Common Stock",$29.69,-0.21,-0.702%,"286,312,219"
3428,DMRC,Digimarc Corporation Common Stock,$13.28,0.19,1.451%,"286,165,129"
3429,MTW,"Manitowoc Company, Inc. (The) Common Stock",$8.14,0.26,3.299%,"285,992,754"
3430,SFST,"Southern First Bancshares, Inc. Common Stock",$34.90,-0.61,-1.718%,"285,390,283"
3431,LZM,Lifezone Metals Limited Ordinary Shares,$3.52,-0.06,-1.676%,"284,572,893"
3432,MG,Mistras Group Inc Common Stock,$9.16,0.04,0.439%,"284,253,532"
3433,LOVE,The Lovesac Company Common Stock,$19.17,-0.28,-1.44%,"283,591,472"
3434,FCNCP,"First Citizens BancShares, Inc. Depositary Shares",$20.86,0.10,0.482%,"283,221,393"
3435,GHI,Greystone Housing Impact Investors LP Beneficial Unit Certificates representing assignments of limited partnership interests,$12.15,-0.40,-3.187%,"282,978,870"
3436,SLDB,Solid Biosciences Inc. Common Stock,$3.65,0.34,10.272%,"282,849,300"
3437,RMMZ,"RiverNorth Managed Duration Municipal Income Fund II, Inc. Common Stock",$14.32,-0.005,-0.035%,"282,671,473"
3438,UIS,Unisys Corporation New Common Stock,$4.05,0.08,2.015%,"281,896,694"
3439,MERC,Mercer International Inc. Common Stock,$4.21,-0.26,-5.817%,"281,525,959"
3440,SLI,Standard Lithium Ltd. Common Shares,$1.45,-0.03,-2.027%,"281,210,280"
3441,OIA,Invesco Municipal Income Opportunities Trust Common Stock,$5.905,0.045,0.768%,"281,111,003"
3442,LOCO,"El Pollo Loco Holdings, Inc. Common Stock",$9.43,0.08,0.856%,"280,799,062"
3443,XOMA,XOMA Royalty Corporation Common Stock,$23.44,-0.60,-2.496%,"280,781,126"
3444,PCB,PCB Bancorp Common Stock,$19.515,-0.095,-0.484%,"280,638,404"
3445,LMNR,Limoneira Co Common Stock,$15.53,0.50,3.327%,"280,241,475"
3446,HCAT,"Health Catalyst, Inc Common Stock",$3.99,0.04,1.013%,"280,140,497"
3447,ITRG,Integra Resources Corp. Common Shares,$1.66,-0.03,-1.775%,"279,829,042"
3448,OCCIN,"OFS Credit Company, Inc. 5.25% Series E Term Preferred Stock Due 2026",$24.0304,0.0654,0.273%,"279,149,382"
3449,MCFT,"MasterCraft Boat Holdings, Inc. Common Stock",$16.65,0.21,1.277%,"278,929,325"
3450,SJT,San Juan Basin Royalty Trust Common Stock,$5.98,0.18,3.103%,"278,720,600"
3451,MATV,"Mativ Holdings, Inc. Common Stock",$5.11,UNCH,--,"278,584,977"
3452,AMCX,AMC Networks Inc. Class A Common Stock,$6.30,-0.10,-1.563%,"278,054,242"
3453,NRC,National Research Corporation Common Stock (Delaware),$12.115,0.755,6.646%,"277,985,120"
3454,RLGT,"Radiant Logistics, Inc. Common Stock",$5.90,0.05,0.855%,"277,350,286"
3455,AUDC,AudioCodes Ltd. Common Stock,$9.40,0.02,0.213%,"277,047,074"
3456,MTA,Metalla Royalty & Streaming Ltd. Common Shares,$2.99,-0.05,-1.645%,"276,559,380"
3457,OBT,"Orange County Bancorp, Inc. Common Stock",$24.29,0.56,2.36%,"275,900,175"
3458,MMT,MFS Multimarket Income Trust Common Stock,$4.61,UNCH,--,"274,517,686"
3459,GCMGW,GCM Grosvenor Inc. Warrant,$1.45,0.28,23.932%,"274,263,121"
3460,AZ,A2Z Cust2Mate Solutions Corp. Common Shares,$7.86,0.29,3.831%,"274,211,466"
3461,VMD,"Viemed Healthcare, Inc. Common Shares",$7.06,-0.01,-0.141%,"274,110,141"
3462,BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$4.36,0.11,2.588%,"274,019,386"
3463,EM,Smart Share Global Limited American Depositary Shares,$1.08,UNCH,--,"273,854,796"
3464,URG,Ur Energy Inc Common Shares (Canada),$0.7488,-0.0038,-0.505%,"273,176,662"
3465,FNLC,"First Bancorp, Inc (ME) Common Stock",$24.37,-0.06,-0.246%,"272,840,866"
3466,MCR,MFS Charter Income Trust Common Stock,$6.195,0.025,0.405%,"272,631,914"
3467,CYRX,"CryoPort, Inc. Common Stock",$5.46,-0.12,-2.151%,"272,510,735"
3468,RMM,"RiverNorth Managed Duration Municipal Income Fund, Inc. Common Stock",$13.78,0.13,0.952%,"272,012,074"
3469,BKSY,BlackSky Technology Inc. Class A Common Stock,$8.58,0.22,2.632%,"271,471,071"
3470,RM,Regional Management Corp. Common Stock,$27.61,-5.32,-16.155%,"271,446,638"
3471,RYET,Ruanyun Edai Technology Inc. Ordinary shares,$8.04,-0.21,-2.545%,"271,350,032"
3472,CBAN,"Colony Bankcorp, Inc. Common Stock",$15.48,-0.04,-0.258%,"271,211,705"
3473,AIP,"Arteris, Inc. Common Stock",$6.62,-0.04,-0.601%,"271,077,018"
3474,PANL,Pangaea Logistics Solutions Ltd. Common Shares,$4.11,0.08,1.985%,"269,732,876"
3475,IAUX,i-80 Gold Corp. Common Shares,$0.6073,-0.0069,-1.123%,"269,251,806"
3476,RBB,RBB Bancorp Common Stock,$15.18,-0.40,-2.567%,"269,143,237"
3477,NIU,Niu Technologies American Depositary Shares,$3.45,0.09,2.679%,"268,975,703"
3478,SDA,SunCar Technology Group Inc. Class A Ordinary Shares,$2.73,-0.01,-0.365%,"268,918,808"
3479,EXFY,"Expensify, Inc. Class A Common Stock",$2.94,-0.02,-0.676%,"268,752,853"
3480,MEC,"Mayville Engineering Company, Inc. Common Stock",$13.15,0.37,2.895%,"268,520,672"
3481,HKD,AMTD Digital Inc. American Depositary Shares (every five of which represent two Class A Ordinary Shares),$2.12,0.05,2.415%,"267,467,619"
3482,FC,Franklin Covey Company Common Stock,$20.59,0.28,1.379%,"267,417,258"
3483,DSGN,"Design Therapeutics, Inc. Common Stock",$4.71,-0.15,-3.086%,"267,352,213"
3484,EBS,Emergent BioSolutions Inc. Common Stock,$4.92,-0.42,-7.865%,"267,338,168"
3485,MVIS,"MicroVision, Inc. Common Stock",$1.09,-0.04,-3.54%,"267,055,216"
3486,TG,Tredegar Corporation Common Stock,$7.70,-0.07,-0.901%,"267,010,398"
3487,OIS,"Oil States International, Inc. Common Stock",$4.32,0.81,23.077%,"266,805,827"
3488,PVLA,"Palvella Therapeutics, Inc. Common Stock",$24.09,-0.19,-0.783%,"265,441,615"
3489,ASUR,"Asure Software, Inc Common Stock",$9.82,-0.34,-3.346%,"264,938,543"
3490,BWFG,"Bankwell Financial Group, Inc. Common Stock",$33.50,-0.41,-1.209%,"264,894,919"
3491,DC,Dakota Gold Corp. Common Stock,$2.66,-0.04,-1.481%,"264,608,402"
3492,TMQ,Trilogy Metals Inc. Common Stock,$1.61,-0.09,-5.294%,"264,388,420"
3493,NTCL,NETCLASS TECHNOLOGY INC Class A Ordinary Shares,$14.81,0.41,2.847%,"264,062,300"
3494,HYLN,Hyliion Holdings Corp. Class A Common Stock,$1.51,UNCH,--,"263,978,463"
3495,MNPR,Monopar Therapeutics Inc. Common Stock,$43.15,1.33,3.18%,"263,758,388"
3496,CPS,Cooper-Standard Holdings Inc. Common Stock,$15.22,0.55,3.749%,"263,709,802"
3497,FLIC,First of Long Island Corporation (The) Common Stock,$11.65,0.13,1.128%,"263,701,641"
3498,HAIN,"Hain Celestial Group, Inc. (The) Common Stock",$2.92,-0.12,-3.947%,"263,520,828"
3499,NBR,Nabors Industries Ltd.,$27.34,0.50,1.863%,"262,563,900"
3500,LXRX,"Lexicon Pharmaceuticals, Inc. Common Stock",$0.7245,-0.0063,-0.862%,"261,901,168"
3501,LE,"Lands' End, Inc. Common Stock",$8.46,-0.42,-4.73%,"261,256,872"
3502,NODK,"NI Holdings, Inc. Common Stock",$12.63,0.13,1.04%,"261,207,926"
3503,TSVT,"2seventy bio, Inc. Common Stock",$4.98,-0.01,-0.20%,"260,645,147"
3504,PKE,Park Aerospace Corp. Common Stock,$13.06,-0.01,-0.077%,"260,223,674"
3505,EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,$16.65,-0.16,-0.952%,"260,154,935"
3506,SLRN,"ACELYRIN, INC. Common Stock",$2.58,0.11,4.453%,"259,831,421"
3507,ACB,Aurora Cannabis Inc. Common Shares,$4.75,0.11,2.371%,"259,638,691"
3508,VNDA,Vanda Pharmaceuticals Inc. Common Stock,$4.44,-0.07,-1.552%,"258,923,235"
3509,GEVO,"Gevo, Inc. Common Stock",$1.08,-0.02,-1.818%,"258,778,664"
3510,AMPX,"Amprius Technologies, Inc. Common Stock",$2.19,0.03,1.389%,"258,259,710"
3511,COFS,"ChoiceOne Financial Services, Inc. Common Stock",$28.76,0.33,1.161%,"257,942,228"
3512,CZFS,"Citizens Financial Services, Inc. Common Stock",$54.13,-0.30,-0.551%,"257,630,165"
3513,YSG,"Yatsen Holding Limited American Depositary Shares, each representing twenty (20) Class A Ordinary Shares",$4.15,-0.13,-3.037%,"256,592,994"
3514,DDD,3D Systems Corporation Common Stock,$1.89,0.05,2.717%,"256,167,708"
3515,AVIR,"Atea Pharmaceuticals, Inc. Common Stock",$2.99,0.04,1.356%,"255,720,285"
3516,FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.32,0.02,0.317%,"255,361,964"
3517,RNGR,"Ranger Energy Services, Inc. Class A Common Stock",$11.47,0.38,3.427%,"255,241,291"
3518,CVEO,Civeo Corporation (Canada) Common Shares,$18.68,-0.31,-1.632%,"255,050,126"
3519,ORN,"Orion Group Holdings, Inc. Common",$6.51,0.12,1.878%,"253,821,938"
3520,LNKB,"LINKBANCORP, Inc. Common Stock",$6.79,-0.23,-3.276%,"253,792,152"
3521,PLBC,Plumas Bancorp,$42.83,-0.96,-2.192%,"253,557,155"
3522,LFCR,"Lifecore Biomedical, Inc. Common Stock",$6.83,0.07,1.036%,"252,883,011"
3523,NREF,"NexPoint Real Estate Finance, Inc. Common Stock",$14.30,-0.33,-2.256%,"252,302,422"
3524,MAMA,"Mama's Creations, Inc. Common Stock",$6.71,0.11,1.667%,"252,269,160"
3525,CMPX,"Compass Therapeutics, Inc. Common Stock",$1.82,-0.04,-2.151%,"251,674,146"
3526,SNFCA,Security National Financial Corporation Class A Common Stock,$10.18,-0.06,-0.586%,"251,334,763"
3527,QUAD,"Quad Graphics, Inc Class A Common Stock",$4.80,0.03,0.629%,"251,268,936"
3528,TCI,"Transcontinental Realty Investors, Inc. Common Stock",$29.04,0.28,0.974%,"250,885,737"
3529,HCAI,"Huachen AI Parking Management Technology Holding Co., Ltd. Ordinary Shares",$7.95,-0.34,-4.101%,"250,425,000"
3530,GWRS,"Global Water Resources, Inc. Common Stock",$10.33,-0.10,-0.959%,"250,254,745"
3531,ZIMV,ZimVie Inc. Common Stock,$9.04,-0.02,-0.221%,"250,203,208"
3532,BZAI,"Blaize Holdings, Inc. Common Stock",$2.46,0.04,1.653%,"250,142,433"
3533,PROK,ProKidney Corp. Class A Ordinary Shares,$0.854,-0.0316,-3.568%,"249,963,792"
3534,GMGI,"Golden Matrix Group, Inc. Common Stock",$1.89,0.01,0.532%,"249,644,581"
3535,TTSH,"Tile Shop Holdings, Inc. Common Stock",$5.58,-0.09,-1.587%,"249,191,071"
3536,SNWV,"SANUWAVE Health, Inc. Common Stock",$29.13,2.08,7.689%,"249,017,018"
3537,AEHR,Aehr Test Systems Common Stock,$8.36,-0.17,-1.993%,"248,888,988"
3538,AREN,"The Arena Group Holdings, Inc. Common Stock",$5.23,0.23,4.60%,"248,743,779"
3539,NC,"NACCO Industries, Inc. Common Stock",$33.46,-1.44,-4.126%,"248,684,624"
3540,PBPB,Potbelly Corporation Common Stock,$8.30,0.20,2.469%,"247,999,883"
3541,HSHP,Himalaya Shipping Ltd. Common Shares,$5.32,0.10,1.916%,"247,646,000"
3542,SEG,Seaport Entertainment Group Inc. Common Stock,$19.49,0.34,1.775%,"247,456,715"
3543,RCEL,"Avita Medical, Inc. Common Stock",$9.34,-0.35,-3.612%,"246,179,442"
3544,UROY,Uranium Royalty Corp. Common Stock,$1.84,0.03,1.657%,"245,890,459"
3545,AARD,"Aardvark Therapeutics, Inc. Common Stock",$11.33,0.22,1.98%,"245,814,774"
3546,KGEI,Kolibri Global Energy Inc. Common stock,$6.87,0.03,0.439%,"245,506,080"
3547,CMCL,Caledonia Mining Corporation Plc Common Shares,$12.78,-0.39,-2.961%,"245,223,573"
3548,GROY,Gold Royalty Corp. Common Shares,$1.45,-0.05,-3.333%,"245,153,555"
3549,JOUT,Johnson Outdoors Inc. Class A Common Stock,$23.72,0.89,3.898%,"245,111,189"
3550,AMBI,Ambipar Emergency Response Class A Ordinary Shares,$4.39,0.37,9.204%,"243,337,046"
3551,IMMP,Immutep Limited American Depositary Shares,$1.67,-0.04,-2.339%,"242,912,831"
3552,JMSB,"John Marshall Bancorp, Inc. Common Stock",$17.00,-0.19,-1.105%,"242,682,514"
3553,TSBK,"Timberland Bancorp, Inc. Common Stock",$30.49,-0.25,-0.813%,"242,561,762"
3554,KINS,"Kingstone Companies, Inc. Common Stock",$17.66,0.66,3.882%,"242,485,963"
3555,BLZE,"Backblaze, Inc. Class A Common Stock",$4.46,0.06,1.364%,"242,178,000"
3556,EMX,EMX Royalty Corporation Common Shares (Canada),$2.22,-0.09,-3.896%,"241,537,199"
3557,CERS,Cerus Corporation Common Stock,$1.30,-0.02,-1.515%,"241,526,760"
3558,TPVG,TriplePoint Venture Growth BDC Corp. Common Stock,$6.01,-0.06,-0.988%,"241,225,600"
3559,GOSS,"Gossamer Bio, Inc. Common Stock",$1.06,0.04,3.922%,"240,854,537"
3560,NWFL,Norwood Financial Corp. Common Stock,$25.91,0.90,3.599%,"239,993,759"
3561,PCYO,Pure Cycle Corporation Common Stock,$9.965,0.065,0.657%,"239,920,379"
3562,CRVS,"Corvus Pharmaceuticals, Inc. Common Stock",$3.52,-0.07,-1.95%,"239,838,002"
3563,RZLT,"Rezolute, Inc. Common Stock (NV)",$3.96,0.20,5.319%,"239,720,283"
3564,FDBC,"Fidelity D & D Bancorp, Inc. Common Stock",$41.53,1.05,2.594%,"239,524,898"
3565,LIEN,"Chicago Atlantic BDC, Inc. Common Stock",$10.49,UNCH,--,"239,385,849"
3566,GPRE,Green Plains Inc. Common Stock,$3.69,0.11,3.073%,"238,851,656"
3567,EGHT,8x8 Inc Common Stock,$1.81,0.05,2.841%,"238,365,545"
3568,CDTX,"Cidara Therapeutics, Inc. Common Stock",$21.75,0.865,4.142%,"238,238,408"
3569,TVRD,"Tvardi Therapeutics, Inc. Common Stock",$25.45,0.51,2.045%,"238,098,544"
3570,VPV,Invesco Pennsylvania Value Municipal Income Trust Common Stock (DE),$9.95,0.02,0.201%,"237,103,963"
3571,MBI,MBIA Inc. Common Stock,$4.65,-0.04,-0.853%,"237,015,303"
3572,KOD,Kodiak Sciences Inc Common Stock,$4.49,0.13,2.982%,"236,840,060"
3573,JILL,"J. Jill, Inc. Common Stock",$15.53,0.31,2.037%,"236,807,745"
3574,PCTTW,"PureCycle Technologies, Inc. Warrant",$1.32,-0.08,-5.714%,"236,723,883"
3575,FULC,"Fulcrum Therapeutics, Inc. Common Stock",$4.38,0.53,13.766%,"236,429,360"
3576,DBVT,DBV Technologies S.A. American Depositary Shares,$8.61,-0.40,-4.44%,"235,825,954"
3577,IMMR,Immersion Corporation Common Stock,$7.27,0.04,0.553%,"235,522,061"
3578,WSBF,"Waterstone Financial, Inc. Common Stock (MD)",$12.16,0.06,0.496%,"234,928,865"
3579,OZ,"Belpointe PREP, LLC Class A Units",$62.25,UNCH,--,"234,582,153"
3580,ASPS,Altisource Portfolio Solutions S.A. Common Stock,$1.02,UNCH,--,"234,501,385"
3581,PLX,"Protalix BioTherapeutics, Inc. (DE) Common Stock",$3.00,-0.07,-2.28%,"234,097,755"
3582,PHAT,"Phathom Pharmaceuticals, Inc. Common Stock",$3.36,-0.93,-21.678%,"233,980,219"
3583,AVNW,"Aviat Networks, Inc. Common Stock",$18.41,0.85,4.841%,"233,512,127"
3584,CDZI,"CADIZ, Inc. Common Stock",$2.85,0.01,0.352%,"233,087,281"
3585,POWW,"AMMO, Inc. Common Stock",$1.96,-0.01,-0.508%,"232,763,197"
3586,THRD,"Third Harmonic Bio, Inc. Common Stock",$5.16,-0.01,-0.193%,"232,736,119"
3587,DOYU,DouYu International Holdings Limited ADS,$7.71,0.26,3.49%,"232,679,003"
3588,ALLT,Allot Ltd. Ordinary Shares,$5.86,-0.09,-1.513%,"232,599,890"
