,Ticker,Name,Last Sale,Net Change,Percent Change,Market Cap
116,MDT,Medtronic plc. Ordinary Shares,$83.56,-1.20,-1.416%,"107,169,335,278"
117,CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",$431.88,3.01,0.702%,"107,051,570,470"
118,AMT,American Tower Corporation (REIT) Common Stock,$224.03,-1.38,-0.612%,"104,877,011,027"
119,GEV,GE Vernova Inc. Common Stock,$382.29,11.47,3.093%,"104,340,223,284"
120,KKR,KKR & Co. Inc. Common Stock,$114.49,0.22,0.193%,"101,695,803,523"
121,FI,"Fiserv, Inc. Common Stock",$183.02,-1.55,-0.84%,"101,472,478,468"
122,ENB,Enbridge Inc Common Stock,$46.48,-0.21,-0.45%,"101,282,228,662"
123,BMY,Bristol-Myers Squibb Company Common Stock,$49.61,-0.59,-1.175%,"100,960,358,984"
124,SO,Southern Company (The) Common Stock,$91.46,-0.43,-0.468%,"100,313,528,938"
125,RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),$54.08,-0.55,-1.007%,"100,090,404,939"
126,MO,"Altria Group, Inc.",$59.31,0.16,0.27%,"99,904,837,326"
127,CME,CME Group Inc. Class A Common Stock,$277.11,0.03,0.011%,"99,858,614,728"
128,WELL,Welltower Inc. Common Stock,$150.33,-2.26,-1.481%,"98,308,540,270"
129,MSTR,MicroStrategy Incorporated Common Stock Class A,$381.60,1.49,0.392%,"98,205,468,631"
130,ICE,Intercontinental Exchange Inc. Common Stock,$170.84,2.87,1.709%,"98,158,660,341"
131,BX,Blackstone Inc. Common Stock,$133.39,1.68,1.276%,"97,296,790,236"
132,ADI,"Analog Devices, Inc. Common Stock",$193.74,-1.18,-0.605%,"96,090,483,816"
133,PLD,"Prologis, Inc. Common Stock",$103.08,0.88,0.861%,"95,650,612,080"
134,APH,Amphenol Corporation Common Stock,$78.63,1.68,2.183%,"95,110,775,739"
135,APP,Applovin Corporation Class A Common Stock,$279.49,10.18,3.78%,"95,014,925,982"
136,DUK,Duke Energy Corporation (Holding Company) Common Stock,$121.33,-0.69,-0.565%,"94,208,014,101"
137,WM,"Waste Management, Inc. Common Stock",$233.40,0.04,0.017%,"93,922,021,598"
138,SBUX,Starbucks Corporation Common Stock,$82.01,1.96,2.448%,"93,196,164,000"
139,ELV,"Elevance Health, Inc. Common Stock",$408.31,-12.27,-2.917%,"92,251,356,526"
140,LRCX,Lam Research Corporation Common Stock,$71.73,0.06,0.084%,"91,751,134,140"
141,CI,The Cigna Group Common Stock,$335.18,-4.86,-1.429%,"91,731,547,564"
142,KLAC,KLA Corporation Common Stock,$676.31,-26.38,-3.754%,"89,872,635,187"
143,BTI,"British American Tobacco Industries, p.l.c. Common Stock ADR",$43.30,-0.25,-0.574%,"89,614,919,203"
144,MCK,McKesson Corporation Common Stock,$706.77,-6.02,-0.845%,"88,576,922,766"
145,TT,Trane Technologies plc,$392.62,9.31,2.429%,"88,061,118,286"
146,MDLZ,"Mondelez International, Inc. Class A Common Stock",$67.87,-0.26,-0.382%,"87,879,119,366"
147,CVS,CVS Health Corporation Common Stock,$69.45,2.74,4.107%,"87,562,217,125"
148,BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,$53.24,-0.09,-0.169%,"87,170,756,388"
149,INTC,Intel Corporation Common Stock,$19.98,-0.12,-0.597%,"87,152,760,000"
150,MU,"Micron Technology, Inc. Common Stock",$77.77,0.82,1.066%,"86,913,537,499"
151,HCA,"HCA Healthcare, Inc. Common Stock",$343.04,-2.04,-0.591%,"85,191,205,376"
152,CTAS,Cintas Corporation Common Stock,$209.55,-2.13,-1.006%,"84,613,558,097"
153,EQIX,"Equinix, Inc. Common Stock REIT",$861.97,1.22,0.142%,"83,897,268,350"
154,NKE,"Nike, Inc. Common Stock",$56.76,0.36,0.638%,"83,777,220,042"
155,TRI,Thomson Reuters Corporation Common Shares,$185.74,-0.24,-0.129%,"83,567,496,282"
156,DASH,"DoorDash, Inc. Class A Common Stock",$196.20,3.31,1.716%,"82,422,851,681"
