,Ticker,Share Issued,Total Assets,Net PPE,Accounts Receivable,Cash And Cash Equivalents,Total Debt,Accounts Payable,Stockholders Equity,Retained Earnings,Working Capital,Total Revenue,Operating Income,EBITDA,Net Income,Capital Expenditure,Free Cash Flow
126,WD,33194000.0,4381993000.0,128484000.0,335879000.0,279270000.0,1657252000.0,,1747863000.0,1317945000.0,1708774000.0,341451000.0,36165000.0,104219000.0,44836000.0,-3936000.0,526881000.0
127,FTLF,9196482.0,58531000.0,487000.0,1626000.0,4468000.0,13462000.0,4067000.0,36126000.0,5567000.0,6832000.0,15013000.0,2919000.0,2956000.0,2070000.0,,957000.0
128,OLLI,67462000.0,2561145000.0,889698000.0,2352000.0,205123000.0,564870000.0,130279000.0,1695310000.0,1367713000.0,689450000.0,667084000.0,87725000.0,100276000.0,68554000.0,-24384000.0,123376000.0
129,HLX,151530339.0,2635023000.0,1762097000.0,258485000.0,369987000.0,655797000.0,159835000.0,1545265000.0,371159000.0,412812000.0,278064000.0,8172000.0,45012000.0,3072000.0,-4488000.0,11954000.0
130,MXCT,105711093.0,239470000.0,30473000.0,4682000.0,27884000.0,18034000.0,1358000.0,206251000.0,-216853000.0,155909000.0,8693000.0,-12901000.0,-11369000.0,-10597000.0,-147000.0,-7968000.0
131,MTSI,74331815.0,1843630000.0,174110000.0,91752000.0,232699000.0,531018000.0,44631000.0,1150889000.0,-353380000.0,710028000.0,218122000.0,17527000.0,-152576000.0,-167530000.0,-5340000.0,61319000.0
132,AMZE,16713398.0,4412325.0,,6966.0,155647.0,432105.0,1108777.0,1478846.0,-29158801.0,1478846.0,60804.0,-724017.0,37275.0,-111812.0,,-585041.0
133,TXN,1741000000.0,33757000000.0,11811000000.0,1860000000.0,2763000000.0,12848000000.0,866000000.0,16406000000.0,52196000000.0,10597000000.0,4069000000.0,1324000000.0,1848000000.0,1179000000.0,-1123000000.0,-274000000.0
134,BRLS,21378890.0,60006083.0,45800152.0,1965748.0,652965.0,32284790.0,11529803.0,-695886.0,-90792574.0,-13606907.0,6760282.0,-4621566.0,-4159114.0,-5765667.0,-198485.0,-1017910.0
135,AUST,13271750.0,9512870.0,4087219.0,,381899.0,,183717.0,9284172.0,-10099253.0,5184549.0,0.0,-795469.0,-794857.0,-739893.0,-211965.0,-478804.0
136,JBL,277826033.0,17396000000.0,3281000000.0,3708000000.0,1592000000.0,3293000000.0,6640000000.0,1358000000.0,5960000000.0,299000000.0,6728000000.0,298000000.0,412000000.0,117000000.0,-116000000.0,218000000.0
137,SCNI,3411983584.0,12261000.0,10644000.0,120000.0,1032000.0,1227000.0,430000.0,10003000.0,-115309000.0,225000.0,168000.0,-2420000.0,12837000.0,10455000.0,-4000.0,-2042000.0
138,OTIS,439100000.0,11178000000.0,1164000000.0,3570000000.0,1918000000.0,8725000000.0,1618000000.0,-5128000000.0,-889000000.0,-457000000.0,3350000000.0,411000000.0,453000000.0,243000000.0,-34000000.0,156000000.0
139,HDSN,44284374.0,302652000.0,28432000.0,13629000.0,70134000.0,6878000.0,8692000.0,245850000.0,134615000.0,147703000.0,34643000.0,-3246000.0,-3751000.0,-2565000.0,-1548000.0,19160000.0
140,NOVA,125067917.0,13353699000.0,7411954000.0,43670000.0,211192000.0,8460407000.0,699396000.0,1831644000.0,46590000.0,-296248000.0,224127000.0,10921000.0,59781000.0,-142291000.0,-313641000.0,-384508000.0
141,SXC,100055579.0,1668400000.0,1122600000.0,80700000.0,193700000.0,495700000.0,152700000.0,684600000.0,144900000.0,289500000.0,436000000.0,30200000.0,59000000.0,17300000.0,-4900000.0,20900000.0
142,EL,359692749.0,19886000000.0,4934000000.0,1792000000.0,2631000000.0,9382000000.0,1214000000.0,4345000000.0,12344000000.0,2053000000.0,3550000000.0,403000000.0,532000000.0,159000000.0,-122000000.0,162000000.0
